,endorsement_count,name,perfil_id,area
788,1,Programação de computadores,35,Linguagens de Programação e AEDS
789,1,Shell script,35,Softwares
790,1,Sistemas distribuídos,35,Softwares
791,5,Inglês,36,Idioma
793,4,Comunicação interpessoal,36,Marketing
795,3,Motivação de equipes,36,Gestão
797,2,Gerenciamento de processos de negócios,36,Gestão
798,2,Língua Portuguesa,36,Idioma
799,2,Liderança de equipe,36,Soft Skills
800,2,Microsoft Office,36,Softwares
801,28,PHP,37,Back End
804,29,JavaScript,37,Front End
807,21,Python,37,Back End
810,4,Scrum,37,Metodologias Gerenciemento de Software
811,13,Performance Improvement,37,Gestão
812,8,Team Leadership,37,Gestão
813,7,Linux,37,SO
814,7,Git,37,Ferramenta de Versionamento de Software
815,6,MySQL,37,Banco de Dados e Web Services
816,3,Nginx,37,Softwares
817,2,Django,37,Softwares
818,5,Laravel,37,Back End
819,2,WordPress,37,Front End
820,1,PostgreSQL,37,Banco de Dados e Web Services
821,1,AngularJS,37,Front End
822,4,TDD,37,Softwares
823,10,Python,38,Back End
826,11,Scrum,38,Metodologias Gerenciemento de Software
829,4,Desenvolvimento de software,38,Analista
831,4,Engenharia de software,38,Engeharia
832,2,Desenvolvimento orientado a testes,38,Testing
833,3,Agile Methodologies,38,Gestão
834,4,Análise de sistemas,38,Analista
835,4,Análise de requisitos,38,Analista
836,4,Linux,38,SO
837,1,Coordenação de projetos,38,Gestão
838,0,Liderança de equipe,38,Soft Skills
839,3,PHP,38,Back End
840,1,Java,38,Back End
841,1,HTML5,38,Front End
842,15,JavaScript,38,Front End
843,4,jQuery,38,Front End
844,5,CSS,38,Front End
845,4,SQL,38,Banco de Dados e Web Services
846,6,UML,38,Back End
847,1,Web Services,38,Web Services
848,0,REST,38,Web Services
849,0,SOAP,38,Web Services
850,1,Web Development,38,Analista
851,2,Git,38,Ferramenta de Versionamento de Software
852,1,PostgreSQL,38,Banco de Dados e Web Services
853,3,Jenkins,38,Softwares
854,0,Nginx,38,Softwares
855,0,Servidor Apache,38,Softwares
856,1,Sistemas operacionais,38,Analista
857,14,Microsoft Excel,39,Softwares
860,11,Microsoft Office,39,Softwares
862,12,Microsoft PowerPoint,39,Softwares
864,8,Planejamento empresarial,39,Gestão
865,8,Planejamento estratégico,39,Gestão
866,6,Business,39,Negócio
867,8,Estratégia empresarial,39,Gestão
868,4,Business Analysis,39,Negócio
869,4,Business Planning,39,Gestão
870,4,ERP (Planejamento de recursos empresariais),39,Gestão
